Number of Nodes,Brushfire mean,Standard deviation of Brushfire,NNs mean,Mean distance,Mean minimun distance,Class
2.0,12.375,0.07500000000000001,1.5,3.855191305240247,3.855191305240247,0.0
19.0,7.092105263157895,3.085375655619278,2.263157894736842,15.53135541876501,1.4247234528128836,0.0
2.0,7.4750000000000005,0.025,1.5,5.000249993750312,5.000249993750312,0.0
3.0,7.366666666666667,2.427733282073813,1.6666666666666667,5.931744784644325,2.984086532847729,0.0
2.0,5.95,0.0,1.5,4.650268809434569,4.650268809434569,0.0
17.0,8.917647058823531,2.052254225198304,2.9411764705882355,16.343367553018748,1.2655441814062258,0.0
7.0,9.885714285714286,1.5569462523327715,2.142857142857143,3.971222459129746,0.23626292586293285,0.0
4.0,6.0125,2.5125621882850986,1.75,7.270288301473167,1.3252403623945848,0.0
2.0,9.0,0.0,2.5,2.002498439450079,2.002498439450079,0.0
3.0,8.466666666666667,4.608024401941562,1.6666666666666667,13.263800160682335,8.313889763827195,0.0
5.0,8.790000000000001,0.058309518948453015,3.0,0.13105631239416443,0.05,0.0
2.0,8.525,0.025,1.5,0.9,0.9,0.0
3.0,14.116666666666667,0.023570226039551584,1.6666666666666667,0.5676767651301299,0.30052032569802334,0.0
23.0,8.328260869565218,4.0974760547077755,2.4347826086956523,24.82319494823608,1.6565468187671932,0.0
3.0,6.466666666666668,0.023570226039551584,1.6666666666666667,0.8367954618539104,0.5211749705856541,0.0
2.0,10.375,0.025,1.5,2.1005951537600005,2.1005951537600005,0.0
2.0,10.375,0.025,1.5,2.1005951537600005,2.1005951537600005,0.0
10.0,9.315000000000001,3.214346745452332,2.6,7.179091242211552,1.2400104602052657,0.0
2.0,7.5,0.05,1.5,2.35,2.35,0.0
4.0,4.3125,1.6625939823059632,1.75,4.604761986987678,0.8004031209635412,0.0
26.0,3.9730769230769236,2.0192454211922626,2.4615384615384617,24.060892695390805,1.7703111339577342,0.0
2.0,7.525,0.025,1.5,2.4505101509685696,2.4505101509685696,0.0
2.0,7.4750000000000005,0.025,1.5,2.4505101509685696,2.4505101509685696,0.0
8.0,6.11875,1.057395828202476,2.125,4.215114902791026,1.8317578344284045,0.0
1.0,2.5500000000000003,0.0,1.0,10.939492675622578,10.939492675622578,0.0
1.0,4.95,0.0,1.0,5.6135995582157445,5.6135995582157445,0.0
13.0,12.68076923076923,2.598634142830427,2.4615384615384617,7.0723840853093565,2.1042928374388925,0.0
3.0,6.8500000000000005,3.3234018715767735,2.0,8.393307092787241,4.78404328047497,0.0
6.0,13.933333333333335,0.07993052538854532,2.833333333333333,0.1783371800699356,0.05,0.0
6.0,4.6916666666666655,2.33048933821967,2.6666666666666665,5.5049373926841785,1.7163292214430812,0.0
5.0,9.28,3.615051866847833,2.4,5.537301617945703,2.789765614270182,0.0
5.0,2.59,1.4374978260853126,2.0,8.700743941862505,2.7733790178513518,0.0
26.0,3.3000000000000003,2.0593128054691525,2.5769230769230766,8.925966464646507,1.4809918380332787,0.0
4.0,1.9375,1.7625886502528036,1.75,5.537408610196328,2.5529685520195855,0.0
6.0,6.591666666666668,0.018633899812498245,2.333333333333333,2.706005644334141,1.2104161878547428,0.0
3.0,7.5166666666666675,0.023570226039551584,1.6666666666666667,6.33346584265286,4.733510633281605,0.0
4.0,6.575,0.025,2.75,3.120320322598154,1.5750508121684954,0.0
3.0,9.450000000000001,2.19127055989594,1.6666666666666667,4.78482062536061,2.8402479499017304,0.0
7.0,9.742857142857144,0.06226998490772391,2.4285714285714284,0.9977818427715053,0.19285714285714284,0.0
7.0,2.0,0.053452248382484885,1.8571428571428568,5.443813808062538,1.401653564753312,1.0
2.0,11.55,0.0,1.5,1.5008331019803636,1.5008331019803636,0.0
6.0,6.733333333333333,0.023570226039551584,2.1666666666666665,3.421727839551354,1.2334558757279537,0.0
9.0,5.522222222222222,3.296893412417136,2.4444444444444446,5.971480291741732,0.3661378797069763,0.0
4.0,4.7375,1.1188023730757812,1.75,4.158447004887175,2.5120652735121753,0.0
5.0,3.85,0.0316227766016838,2.8,2.2699226433768955,1.0713836375064807,1.0
4.0,5.9125000000000005,1.5625999968002047,1.75,4.473520350159233,0.8253905296791061,0.0
5.0,8.91,2.294428033301546,1.8,4.702722683916722,0.5085964666662758,0.0
6.0,3.6333333333333337,0.46696419087073004,2.5,1.2425562940734964,0.6442668190071847,0.0
9.0,9.088888888888887,3.8015185399885336,2.333333333333333,11.274124049024286,5.114919451181483,0.0
7.0,5.742857142857144,0.7528178357860227,2.142857142857143,3.0353233582670547,0.7717445434625916,0.0
3.0,4.766666666666666,0.04714045207910317,2.333333333333333,3.0018008665856515,1.9364143602658281,1.0
